"lon","lat"
7.5,43.7746576906646
7.49825,43.772889
7.497361,43.772861
7.494056,43.769556
7.493194,43.769556
7.492417,43.76875
7.491556,43.76875
7.487389,43.764556
7.486611,43.764611
7.483611,43.761667
7.483694,43.758333
7.486611,43.755417
7.487389,43.755417
7.487806,43.755028
7.487806,43.751639
7.486583,43.750444
7.481528,43.750417
7.480722,43.751222
7.479056,43.75125
7.47825,43.752083
7.474083,43.752111
7.472444,43.753722
7.471583,43.753778
7.468667,43.756667
7.468639,43.7575
7.46825,43.757917
7.467389,43.757889
7.466556,43.75875
7.465694,43.758722
7.464083,43.760417
7.462417,43.760389
7.461611,43.76125
7.454917,43.761278
7.454056,43.760389
7.452389,43.760444
7.452028,43.760028
7.451972,43.759167
7.451111,43.758306
7.451139,43.7575
7.449917,43.756222
7.449028,43.756222
7.448278,43.755417
7.447417,43.755389
7.446528,43.754583
7.445778,43.754583
7.443222,43.752083
7.442444,43.752083
7.441583,43.75125
7.440722,43.75125
7.440333,43.750833
7.440361,43.749972
7.439917,43.749583
7.439028,43.749556
7.437417,43.747889
7.436556,43.747861
7.43575,43.748722
7.432444,43.748722
7.430278,43.746694
7.430333,43.741667
7.429944,43.741278
7.429083,43.74125
7.428222,43.740389
7.427361,43.740361
7.426528,43.739556
7.423222,43.739583
7.422444,43.73875
7.421583,43.73875
7.421111,43.738333
7.421139,43.737472
7.422361,43.73625
7.423167,43.737056
7.426583,43.737111
7.427806,43.735861
7.427833,43.735
7.424056,43.731222
7.422417,43.731222
7.421528,43.732056
7.420722,43.732056
7.419917,43.732889
7.417389,43.732917
7.416556,43.732111
7.41575,43.732083
7.408611,43.725028
7.408639,43.724167
7.406556,43.722083
7.389056,43.722111
7.387833,43.723361
7.387833,43.724167
7.386611,43.725389
7.38575,43.724583
7.380722,43.724556
7.37825,43.722083
7.377389,43.722056
7.375694,43.720389
7.374917,43.720417
7.374083,43.719556
7.370722,43.719556
7.369056,43.721194
7.368278,43.72125
7.367389,43.722028
7.366583,43.722083
7.364889,43.723722
7.36325,43.72375
7.362333,43.724583
7.361556,43.724583
7.360722,43.723778
7.356611,43.723778
7.355778,43.722889
7.354917,43.722889
7.354056,43.722083
7.352389,43.722111
7.352028,43.721639
7.351972,43.720833
7.351111,43.720028
7.351167,43.718306
7.350778,43.717917
7.349917,43.717944
7.349083,43.717083
7.346556,43.717111
7.345694,43.71625
7.344889,43.716222
7.344083,43.715417
7.342417,43.715444
7.341583,43.714583
7.339917,43.714556
7.339083,43.71375
7.338194,43.713722
7.337444,43.712917
7.336583,43.712889
7.335361,43.711611
7.335278,43.708306
7.332444,43.705417
7.331583,43.705389
7.330361,43.704167
7.330333,43.701667
7.33075,43.701278
7.331583,43.701222
7.331944,43.700833
7.331972,43.700028
7.332861,43.699194
7.332806,43.695
7.334917,43.692917
7.336583,43.692889
7.337389,43.692111
7.339917,43.692083
7.341611,43.690389
7.34325,43.690417
7.344028,43.691278
7.346556,43.691194
7.347361,43.690417
7.348222,43.690417
7.348722,43.689972
7.348667,43.689167
7.348278,43.688778
7.347417,43.68875
7.346556,43.687889
7.344889,43.687917
7.344056,43.687056
7.343194,43.687028
7.341583,43.685417
7.340806,43.685389
7.338222,43.687944
7.337444,43.687056
7.336583,43.687056
7.336167,43.6875
7.336139,43.688306
7.334944,43.689611
7.334472,43.689139
7.334528,43.681639
7.332444,43.679556
7.331583,43.679611
7.33075,43.67875
7.329083,43.678722
7.32825,43.677889
7.324083,43.677889
7.322861,43.679139
7.322861,43.684167
7.321167,43.685806
7.321167,43.689167
7.318639,43.691667
7.318667,43.694167
7.320333,43.695806
7.320306,43.696667
7.320694,43.697111
7.321528,43.697083
7.324472,43.699972
7.322861,43.701667
7.322833,43.702472
7.322417,43.702917
7.320778,43.702889
7.319972,43.70375
7.319083,43.703778
7.318611,43.704167
7.318667,43.7075
7.317472,43.708722
7.313278,43.708722
7.311139,43.706639
7.311194,43.704194
7.309889,43.702917
7.308222,43.702944
7.307389,43.702056
7.306611,43.702056
7.306139,43.701639
7.307028,43.700861
7.306944,43.698333
7.307833,43.6975
7.307806,43.693333
7.307028,43.6925
7.306972,43.691667
7.306139,43.690833
7.306167,43.689972
7.305778,43.689583
7.304917,43.689556
7.304083,43.68875
7.299111,43.688722
7.298222,43.689583
7.297444,43.688778
7.294056,43.688722
7.29325,43.689556
7.292444,43.689556
7.291972,43.69
7.291972,43.693306
7.289944,43.695417
7.289056,43.695444
7.28825,43.696222
7.284944,43.69625
7.284472,43.696639
7.2845,43.698361
7.284083,43.69875
7.283222,43.698722
7.280778,43.696222
7.276583,43.696278
7.275778,43.697083
7.274917,43.697056
7.274111,43.697917
7.26575,43.697889
7.264917,43.697083
7.259944,43.697056
7.259111,43.69625
7.254917,43.69625
7.254083,43.695444
7.250778,43.695444
7.249944,43.694556
7.248194,43.694556
7.247444,43.693722
7.245778,43.69375
7.244944,43.692889
7.244083,43.692944
7.242389,43.69125
7.240722,43.691222
7.239972,43.690417
7.239111,43.690389
7.23825,43.689583
7.236611,43.689556
7.231167,43.684167
7.231194,43.683306
7.2295,43.681667
7.229528,43.678306
7.231139,43.676667
7.231194,43.675
7.230361,43.674139
7.230306,43.673333
7.229917,43.672944
7.229056,43.672917
7.227361,43.67125
7.226583,43.671222
7.224889,43.669611
7.224111,43.669583
7.218694,43.664194
7.218639,43.663333
7.217028,43.661639
7.216972,43.660833
7.216583,43.660444
7.215806,43.660417
7.215333,43.660028
7.215361,43.659167
7.213306,43.657056
7.212444,43.657056
7.211583,43.65625
7.210722,43.656222
7.209889,43.655417
7.202417,43.655417
7.202,43.655861
7.202028,43.657472
7.201222,43.658306
7.201167,43.659167
7.200306,43.66
7.200361,43.663333
7.199472,43.664167
7.1995,43.665833
7.197861,43.667528
7.197833,43.668306
7.196944,43.669167
7.197,43.670028
7.196194,43.670861
7.196139,43.672472
7.195333,43.673306
7.195361,43.674972
7.194556,43.675806
7.1945,43.677528
7.192806,43.679167
7.192861,43.679972
7.192028,43.680806
7.192,43.681667
7.191111,43.6825
7.191194,43.685028
7.190306,43.685861
7.190278,43.686667
7.189056,43.687917
7.187417,43.687944
7.186944,43.687528
7.187,43.685806
7.187806,43.685028
7.187833,43.681639
7.188639,43.680861
7.188639,43.68
7.190306,43.678306
7.190361,43.676667
7.1895,43.675833
7.190722,43.674556
7.192444,43.674583
7.193667,43.673333
7.193639,43.671667
7.195361,43.67
7.195306,43.669139
7.196194,43.668333
7.196194,43.665833
7.197,43.664972
7.197056,43.663333
7.197861,43.662472
7.197889,43.659167
7.196583,43.657889
7.195806,43.657889
7.195333,43.657472
7.195361,43.656667
7.194056,43.655389
7.189083,43.655417
7.188278,43.656222
7.18575,43.656222
7.184917,43.655417
7.182389,43.655444
7.181556,43.654556
7.177472,43.654611
7.176583,43.655389
7.175778,43.655444
7.174889,43.656222
7.174111,43.656278
7.173222,43.657056
7.172417,43.657111
7.171528,43.657889
7.169889,43.657917
7.169083,43.658778
7.164889,43.65875
7.164056,43.657889
7.161611,43.657917
7.160694,43.657083
7.159056,43.657056
7.158278,43.65625
7.157389,43.65625
7.156583,43.655417
7.155778,43.655417
7.152417,43.652028
7.151556,43.652083
7.151167,43.651667
7.151194,43.650806
7.15075,43.650417
7.149944,43.650389
7.1495,43.65
7.149528,43.649194
7.148222,43.647917
7.147444,43.647889
7.146972,43.6475
7.147,43.646639
7.146611,43.646222
7.14575,43.646278
7.141167,43.641694
7.141111,43.640833
7.139528,43.639139
7.139472,43.638333
7.138611,43.637528
7.138639,43.636667
7.137806,43.635861
7.137833,43.635
7.136139,43.633361
7.136139,43.631639
7.135278,43.630833
7.135306,43.629972
7.134556,43.629167
7.1345,43.628361
7.133667,43.6275
7.133722,43.625833
7.132861,43.624972
7.132806,43.624167
7.131222,43.622472
7.131111,43.620806
7.130361,43.62
7.130361,43.619139
7.129528,43.618278
7.129472,43.617472
7.128611,43.616667
7.128694,43.615
7.127861,43.614139
7.127806,43.613278
7.127028,43.612528
7.126972,43.606639
7.126139,43.605806
7.126194,43.601639
7.127,43.600861
7.127,43.595833
7.128222,43.594583
7.129083,43.594556
7.1295,43.594139
7.129556,43.5925
7.127417,43.590389
7.121583,43.590361
7.121139,43.59
7.121194,43.5875
7.121528,43.587056
7.122389,43.587056
7.123222,43.586222
7.124861,43.58625
7.12575,43.585389
7.126556,43.585417
7.127833,43.586639
7.127806,43.5875
7.129028,43.588722
7.129889,43.588722
7.130389,43.588333
7.130333,43.587472
7.1295,43.586667
7.129528,43.585806
7.128667,43.585
7.128611,43.584139
7.127778,43.583306
7.127806,43.582528
7.127056,43.581639
7.126944,43.58
7.124889,43.577889
7.124111,43.577889
7.123639,43.577472
7.124444,43.576639
7.124472,43.575833
7.126583,43.57375
7.127389,43.57375
7.128278,43.572917
7.13825,43.572917
7.138667,43.572444
7.138722,43.570806
7.13825,43.570389
7.137389,43.570389
7.137,43.569972
7.136972,43.568306
7.137861,43.567472
7.137806,43.564139
7.135306,43.561667
7.135333,43.560861
7.134861,43.560389
7.134083,43.560389
7.132778,43.559167
7.132806,43.558306
7.134111,43.557056
7.136611,43.557111
7.137444,43.557917
7.13825,43.557861
7.139083,43.55875
7.140722,43.558722
7.143667,43.555833
7.143694,43.554139
7.14325,43.553722
7.141583,43.55375
7.140306,43.552472
7.140333,43.551667
7.138639,43.55
7.138667,43.549139
7.137361,43.547917
7.135722,43.547889
7.134972,43.547083
7.127417,43.547056
7.127,43.5475
7.126972,43.548306
7.126583,43.54875
7.122417,43.54875
7.121111,43.547472
7.121194,43.545
7.119889,43.543722
7.119083,43.544583
7.118306,43.544556
7.117806,43.544944
7.117806,43.547472
7.116583,43.548722
7.114083,43.548722
7.113667,43.549167
7.113639,43.549972
7.115333,43.551667
7.115306,43.552472
7.117444,43.554556
7.118222,43.554556
7.118667,43.554972
7.118639,43.556639
7.119556,43.5575
7.119472,43.559972
7.116139,43.563278
7.116083,43.564139
7.113194,43.567056
7.112417,43.567056
7.110778,43.56875
7.109917,43.568722
7.109111,43.569583
7.10825,43.569556
7.107417,43.570389
7.105778,43.570361
7.104944,43.571222
7.103222,43.57125
7.102417,43.572028
7.08575,43.572028
7.084917,43.571222
7.08325,43.571194
7.082417,43.570389
7.081639,43.570417
7.080722,43.569556
7.079944,43.569556
7.079083,43.568722
7.077444,43.568694
7.076611,43.567889
7.07575,43.567917
7.074889,43.567056
7.07325,43.567083
7.072417,43.566222
7.071639,43.566194
7.070778,43.565389
7.069056,43.565417
7.067444,43.563722
7.066583,43.563722
7.065361,43.5625
7.065333,43.561639
7.064111,43.560417
7.06325,43.560389
7.0595,43.556667
7.059528,43.555833
7.058611,43.555
7.058639,43.554139
7.057889,43.553333
7.057833,43.552472
7.055694,43.550444
7.054917,43.550417
7.054083,43.549556
7.051556,43.549556
7.050722,43.54875
7.047417,43.54875
7.046583,43.547889
7.044917,43.547917
7.044083,43.547028
7.043222,43.547083
7.041167,43.545
7.041194,43.544194
7.039444,43.5425
7.0395,43.540778
7.037444,43.53875
7.035722,43.538722
7.034917,43.539556
7.03325,43.539583
7.031944,43.540833
7.032028,43.545806
7.030333,43.547472
7.030306,43.548278
7.029083,43.549583
7.027417,43.549611
7.026611,43.550389
7.024972,43.550417
7.024083,43.551278
7.020778,43.551222
7.019944,43.552056
7.014056,43.552056
7.012472,43.550389
7.011583,43.551222
7.011111,43.550806
7.011139,43.550028
7.01075,43.549556
7.009889,43.549528
7.009028,43.548778
7.004889,43.54875
7.004083,43.549556
7,43.549528
7,43.8
7.5,43.8
7.5,43.7746576906646
NA,NA
7.047444,43.526222
7.048222,43.52625
7.049111,43.525389
7.049889,43.525417
7.051611,43.523722
7.055778,43.523722
7.056583,43.522889
7.062389,43.522944
7.063222,43.522083
7.065722,43.522083
7.066528,43.521222
7.067389,43.52125
7.068222,43.520389
7.069083,43.520417
7.069472,43.519972
7.069472,43.518306
7.06825,43.517083
7.063306,43.517056
7.062389,43.517889
7.059972,43.517917
7.059056,43.517056
7.049944,43.517056
7.049111,43.517917
7.039917,43.517917
7.039028,43.51875
7.037389,43.518722
7.036583,43.519583
7.033278,43.519583
7.032806,43.519972
7.032833,43.520833
7.032028,43.521611
7.032,43.522472
7.031583,43.522917
7.030722,43.522917
7.030333,43.523306
7.030361,43.524972
7.030722,43.525361
7.031583,43.525389
7.033222,43.52375
7.034056,43.524556
7.038306,43.524583
7.039056,43.525389
7.039917,43.525417
7.041611,43.527028
7.046556,43.527056
7.047444,43.526222
NA,NA
7.072806,43.519167
7.072778,43.5175
7.072417,43.517111
7.071611,43.517083
7.070333,43.518333
7.070306,43.519111
7.07075,43.519528
7.072417,43.519556
7.072806,43.519167
NA,NA
7.05075,43.51125
7.052389,43.511222
7.053222,43.510417
7.054083,43.510389
7.054472,43.51
7.054472,43.508333
7.054083,43.507917
7.053222,43.507917
7.052389,43.507056
7.050722,43.507056
7.049889,43.50625
7.044861,43.506222
7.044056,43.507056
7.042417,43.507056
7.041583,43.507889
7.037417,43.507917
7.036194,43.509167
7.036194,43.509972
7.037389,43.51125
7.041556,43.51125
7.042389,43.512083
7.049861,43.512083
7.05075,43.51125
NA,NA
7.058667,43.506639
7.058694,43.505778
7.058222,43.505417
7.056583,43.505389
7.056194,43.505861
7.056167,43.506639
7.056611,43.507056
7.058278,43.507083
7.058667,43.506639
NA,NA
